TIME	X:1	R:1	Y:1	noise:1
22.6	0.18181897	0.0989084	0.2110081	0.00484156
22.7	0.18181746	0.09890791	0.2110078	0.00476956
22.8	0.18181603	0.0989074	0.21100746	0.00477667
22.9	0.18181469	0.09890689	0.21100706	0.00503558
23	0.18181344	0.09890637	0.2110066	0.00510359
23.1	0.18181229	0.09890585	0.2110061	0.00509462
23.2	0.18181126	0.09890533	0.21100556	0.00486014
23.3	0.18181035	0.09890481	0.21100498	0.00499304
23.4	0.18180956	0.0989043	0.21100436	0.00483758
23.5	0.18180889	0.09890381	0.2110037	0.00505877
23.6	0.18180837	0.09890333	0.21100302	0.00487187
23.7	0.18180798	0.09890286	0.21100231	0.00493888
23.8	0.18180772	0.09890242	0.21100159	0.0049316
23.9	0.18180761	0.09890201	0.21100085	0.0050826
24	0.18180764	0.09890162	0.21100011	0.00506512
24.1	0.18180781	0.09890126	0.21099936	0.00511723
24.2	0.18180812	0.09890093	0.21099861	0.00493136
24.3	0.18180857	0.09890063	0.21099786	0.00476695
24.4	0.18180915	0.09890037	0.21099713	0.00479325
24.5	0.18180987	0.09890015	0.21099641	0.00486554
24.6	0.1818107	0.09889997	0.21099572	0.00491305
24.7	0.18181166	0.09889983	0.21099505	0.00479476
24.8	0.18181273	0.09889973	0.21099441	0.00507811
24.9	0.1818139	0.09889967	0.2109938	0.00503839
25	0.18181517	0.09889965	0.21099323	0.00504019
25.1	0.18181653	0.09889968	0.21099271	0.00487786
25.2	0.18181797	0.09889975	0.21099223	0.00493338
25.3	0.18181948	0.09889985	0.21099179	0.00493609
25.4	0.18182105	0.0989	0.21099141	0.0050439
25.5	0.18182267	0.09890019	0.21099108	0.00507412
25.6	0.18182432	0.09890042	0.21099081	0.00476488
25.7	0.18182601	0.09890068	0.2109906	0.00499579
25.8	0.18182771	0.09890098	0.21099044	0.00506082
25.9	0.18182941	0.09890131	0.21099034	0.00491452
26	0.18183111	0.09890167	0.21099031	0.00495398
26.1	0.18183279	0.09890206	0.21099033	0.00513517
26.2	0.18183443	0.09890248	0.21099042	0.0049865
26.3	0.18183604	0.09890292	0.21099056	0.00478082
26.4	0.1818376	0.09890337	0.21099077	0.00476352
26.5	0.18183909	0.09890385	0.21099103	0.00491525
26.6	0.18184052	0.09890434	0.21099134	0.00491585
26.7	0.18184186	0.09890483	0.21099171	0.00507308
26.8	0.18184311	0.09890534	0.21099213	0.00513943
26.9	0.18184427	0.09890585	0.2109926	0.00489254
27	0.18184532	0.09890635	0.21099311	0.00503222
27.1	0.18184626	0.09890686	0.21099366	0.00482138
27.2	0.18184708	0.09890735	0.21099425	0.00513921
27.3	0.18184777	0.09890784	0.21099488	0.00491031
27.4	0.18184834	0.09890832	0.21099553	0.00494003
27.5	0.18184877	0.09890877	0.21099621	0.00494734
27.6	0.18184907	0.09890921	0.21099691	0.00495702
27.7	0.18184924	0.09890963	0.21099762	0.00495762
27.8	0.18184926	0.09891002	0.21099834	0.00478127
27.9	0.18184915	0.09891038	0.21099907	0.00479917
28	0.18184891	0.09891071	0.2109998	0.0047655
28.1	0.18184852	0.09891101	0.21100053	0.00505481
28.2	0.18184801	0.09891128	0.21100125	0.00501811
28.3	0.18184737	0.09891151	0.21100195	0.00492043
28.4	0.1818466	0.0989117	0.21100263	0.00482125
28.5	0.18184572	0.09891186	0.2110033	0.00500701
28.6	0.18184472	0.09891197	0.21100393	0.00505852
28.7	0.18184362	0.09891204	0.21100454	0.00493585
28.8	0.18184242	0.09891208	0.21100511	0.00481917
28.9	0.18184113	0.09891207	0.21100563	0.00474969
29	0.18183976	0.09891202	0.21100612	0.00503741
29.1	0.18183832	0.09891193	0.21100656	0.00512584
29.2	0.18183682	0.0989118	0.21100695	0.00493867
29.3	0.18183526	0.09891163	0.21100729	0.00495312
29.4	0.18183366	0.09891143	0.21100758	0.00500824
29.5	0.18183203	0.09891119	0.21100781	0.00498628
29.6	0.18183039	0.09891091	0.21100799	0.00484828
29.7	0.18182873	0.0989106	0.21100811	0.00476475
29.8	0.18182707	0.09891026	0.21100816	0.0047818
29.9	0.18182543	0.09890989	0.21100816	0.00513244
30	0.18182382	0.0989095	0.21100811	0.00505278
30.1	0.18182223	0.09890908	0.21100799	0.0048751
30.2	0.1818207	0.09890864	0.21100781	0.00481198
30.3	0.18181922	0.09890819	0.21100758	0.00491622
30.4	0.1818178	0.09890772	0.2110073	0.00493303
30.5	0.18181646	0.09890724	0.21100696	0.0047867
30.6	0.18181521	0.09890675	0.21100657	0.0049484
30.7	0.18181404	0.09890626	0.21100613	0.00484805
30.8	0.18181298	0.09890576	0.21100565	0.00479261
30.9	0.18181202	0.09890527	0.21100513	0.00505731
31	0.18181118	0.09890478	0.21100457	0.00512234
31.1	0.18181045	0.0989043	0.21100398	0.00479776
31.2	0.18180985	0.09890384	0.21100335	0.00498415
31.3	0.18180937	0.09890338	0.2110027	0.00480675
31.4	0.18180903	0.09890295	0.21100203	0.00480344
31.5	0.18180881	0.09890254	0.21100134	0.00509139
31.6	0.18180873	0.09890215	0.21100064	0.0049621
31.7	0.18180879	0.09890178	0.21099993	0.00502128
31.8	0.18180897	0.09890145	0.21099922	0.00500139
31.9	0.18180929	0.09890114	0.21099851	0.00503797
32	0.18180974	0.09890087	0.21099781	0.00511367
32.1	0.18181031	0.09890063	0.21099712	0.00485464
32.2	0.18181101	0.09890043	0.21099645	0.00488227
32.3	0.18181182	0.09890026	0.21099579	0.00509288
32.4	0.18181275	0.09890013	0.21099516	0.00482733
32.5	0.18181378	0.09890005	0.21099456	0.00512537
32.6	0.18181491	0.0989	0.210994	0.00511982
32.7	0.18181613	0.09889999	0.21099346	0.00496902
32.8	0.18181743	0.09890002	0.21099297	0.00498806
32.9	0.18181881	0.09890009	0.21099253	0.00508888
33	0.18182025	0.0989002	0.21099213	0.00498338
33.1	0.18182174	0.09890035	0.21099177	0.00498162
33.2	0.18182328	0.09890054	0.21099147	0.00506607
33.3	0.18182486	0.09890076	0.21099122	0.00495982
33.4	0.18182645	0.09890101	0.21099103	0.00500157
33.5	0.18182806	0.0989013	0.21099089	0.00482997
33.6	0.18182968	0.09890162	0.21099081	0.00496465
33.7	0.18183128	0.09890197	0.21099079	0.00486229
33.8	0.18183286	0.09890234	0.21099083	0.0050516
33.9	0.18183442	0.09890274	0.21099092	0.00497201
34	0.18183593	0.09890316	0.21099106	0.00487234
34.1	0.18183739	0.09890359	0.21099127	0.0051179
34.2	0.1818388	0.09890405	0.21099152	0.00498566
34.3	0.18184013	0.09890451	0.21099183	0.00503192
34.4	0.18184139	0.09890498	0.21099219	0.00484841
34.5	0.18184256	0.09890546	0.2109926	0.00510735
34.6	0.18184363	0.09890594	0.21099305	0.00501851
34.7	0.18184461	0.09890642	0.21099354	0.0047738
34.8	0.18184547	0.0989069	0.21099407	0.00481037
34.9	0.18184623	0.09890737	0.21099464	0.00475671
35	0.18184686	0.09890783	0.21099523	0.00483466
35.1	0.18184738	0.09890827	0.21099585	0.0049311
35.2	0.18184777	0.0989087	0.2109965	0.00487846
35.3	0.18184803	0.09890911	0.21099716	0.00509929
35.4	0.18184816	0.0989095	0.21099784	0.00509294
35.5	0.18184816	0.09890987	0.21099853	0.0049435
35.6	0.18184803	0.09891021	0.21099922	0.00495647
35.7	0.18184777	0.09891051	0.21099991	0.00482098
35.8	0.18184739	0.09891079	0.21100059	0.0050231
35.9	0.18184688	0.09891104	0.21100127	0.00483835
36	0.18184625	0.09891125	0.21100193	0.00511584
36.1	0.1818455	0.09891143	0.21100258	0.00480868
36.2	0.18184465	0.09891156	0.2110032	0.00500754
36.3	0.18184368	0.09891167	0.2110038	0.00496049
36.4	0.18184262	0.09891173	0.21100436	0.00477784
36.5	0.18184147	0.09891175	0.2110049	0.0050353
36.6	0.18184024	0.09891174	0.21100539	0.00482284
36.7	0.18183892	0.09891168	0.21100584	0.00506944
36.8	0.18183755	0.09891159	0.21100625	0.00496101
36.9	0.18183611	0.09891146	0.21100661	0.00497461
37	0.18183463	0.0989113	0.21100693	0.00475988
37.1	0.18183311	0.0989111	0.21100719	0.00480414
37.2	0.18183157	0.09891086	0.2110074	0.00483168
37.3	0.18183001	0.09891059	0.21100755	0.00495911
37.4	0.18182844	0.09891029	0.21100765	0.00499063
37.5	0.18182687	0.09890997	0.2110077	0.00500539
37.6	0.18182532	0.09890961	0.21100769	0.00502444
37.7	0.1818238	0.09890924	0.21100762	0.00494942
37.8	0.18182231	0.09890884	0.2110075	0.00497895
37.9	0.18182086	0.09890842	0.21100733	0.00476285
38	0.18181947	0.09890799	0.2110071	0.00513105
38.1	0.18181814	0.09890754	0.21100682	0.0050548
38.2	0.18181689	0.09890708	0.21100649	0.00507125
38.3	0.18181572	0.09890662	0.21100611	0.00506958
38.4	0.18181463	0.09890615	0.21100569	0.00509291
38.5	0.18181364	0.09890568	0.21100523	0.00481799
38.6	0.18181276	0.09890522	0.21100473	0.00493167
38.7	0.18181198	0.09890476	0.21100419	0.00500942
38.8	0.18181131	0.09890431	0.21100362	0.00505726
38.9	0.18181076	0.09890387	0.21100303	0.00484792
39	0.18181034	0.09890344	0.21100241	0.00493111
39.1	0.18181003	0.09890303	0.21100177	0.00510456
39.2	0.18180985	0.09890265	0.21100111	0.0049677
39.3	0.1818098	0.09890228	0.21100045	0.00478319
39.4	0.18180988	0.09890194	0.21099978	0.0050234
39.5	0.18181008	0.09890163	0.21099911	0.00482321
39.6	0.1818104	0.09890135	0.21099844	0.0048708
39.7	0.18181085	0.09890109	0.21099777	0.00496379
39.8	0.18181141	0.09890087	0.21099712	0.00496011
39.9	0.18181209	0.09890069	0.21099649	0.00490387
40	0.18181288	0.09890054	0.21099587	0.0047781
40.1	0.18181378	0.09890043	0.21099528	0.00493925
40.2	0.18181477	0.09890035	0.21099472	0.00509226
40.3	0.18181586	0.09890031	0.21099419	0.00514244
40.4	0.18181703	0.09890031	0.21099369	0.00485996
40.5	0.18181827	0.09890035	0.21099323	0.00503947
40.6	0.18181959	0.09890042	0.21099282	0.00509974
40.7	0.18182096	0.09890053	0.21099245	0.00492148
40.8	0.18182238	0.09890068	0.21099212	0.00485217
40.9	0.18182385	0.09890086	0.21099185	0.00506213
41	0.18182534	0.09890108	0.21099162	0.00510605
41.1	0.18182686	0.09890133	0.21099145	0.0049274
41.2	0.18182838	0.0989016	0.21099133	0.00499111
41.3	0.18182991	0.09890191	0.21099126	0.00514209
41.4	0.18183142	0.09890225	0.21099125	0.0051219
41.5	0.18183292	0.0989026	0.21099129	0.00492915
41.6	0.18183438	0.09890298	0.21099139	0.00509872
41.7	0.18183581	0.09890338	0.21099154	0.00494953
41.8	0.18183718	0.0989038	0.21099174	0.00509016
41.9	0.1818385	0.09890423	0.21099199	0.00497922
42	0.18183975	0.09890467	0.21099229	0.00510094
42.1	0.18184093	0.09890512	0.21099264	0.00504649
42.2	0.18184202	0.09890557	0.21099303	0.00489397
42.3	0.18184302	0.09890603	0.21099347	0.00479827
42.4	0.18184392	0.09890648	0.21099394	0.00484576
42.5	0.18184472	0.09890693	0.21099445	0.00486378
42.6	0.18184542	0.09890737	0.21099499	0.00508662
42.7	0.181846	0.09890781	0.21099556	0.00480953
42.8	0.18184646	0.09890823	0.21099615	0.00481618
42.9	0.1818468	0.09890863	0.21099677	0.00477015
43	0.18184703	0.09890901	0.2109974	0.00483169
43.1	0.18184713	0.09890938	0.21099804	0.00514193
43.2	0.18184711	0.09890972	0.21099869	0.00475062
43.3	0.18184696	0.09891004	0.21099935	0.00513345
43.4	0.1818467	0.09891032	0.211	0.00475331
43.5	0.18184631	0.09891058	0.21100065	0.0049317
43.6	0.18184581	0.09891081	0.21100129	0.00494369
43.7	0.18184519	0.098911	0.21100191	0.00495589
43.8	0.18184446	0.09891116	0.21100252	0.00509969
43.9	0.18184363	0.09891129	0.2110031	0.00490342
44	0.1818427	0.09891137	0.21100366	0.00493284
44.1	0.18184168	0.09891143	0.21100419	0.00496039
44.2	0.18184058	0.09891144	0.21100469	0.00487806
44.3	0.18183939	0.09891142	0.21100515	0.00499114
44.4	0.18183814	0.09891136	0.21100557	0.00493716
44.5	0.18183683	0.09891127	0.21100595	0.00489589
44.6	0.18183546	0.09891114	0.21100628	0.0050321
44.7	0.18183405	0.09891098	0.21100657	0.00476892
44.8	0.18183261	0.09891078	0.21100681	0.00485705
44.9	0.18183114	0.09891055	0.211007	0.00504009
45	0.18182966	0.09891029	0.21100714	0.00479149
45.1	0.18182817	0.09891001	0.21100722	0.00493466
45.2	0.18182669	0.09890969	0.21100726	0.00476577
45.3	0.18182523	0.09890935	0.21100724	0.00495775
45.4	0.18182379	0.09890899	0.21100716	0.00502872
45.5	0.18182239	0.09890861	0.21100704	0.00502867
45.6	0.18182103	0.09890821	0.21100686	0.00485774
45.7	0.18181972	0.0989078	0.21100664	0.00482285
45.8	0.18181848	0.09890737	0.21100636	0.00486531
45.9	0.18181731	0.09890694	0.21100604	0.00502754
46	0.18181621	0.0989065	0.21100568	0.00477545
46.1	0.1818152	0.09890606	0.21100527	0.00500502
46.2	0.18181428	0.09890562	0.21100483	0.00494853
46.3	0.18181346	0.09890518	0.21100435	0.00481988
46.4	0.18181275	0.09890474	0.21100383	0.00510501
46.5	0.18181214	0.09890432	0.21100329	0.00479103
46.6	0.18181164	0.0989039	0.21100272	0.00495892
46.7	0.18181125	0.0989035	0.21100213	0.00508621
46.8	0.18181099	0.09890312	0.21100152	0.00501382
46.9	0.18181084	0.09890276	0.2110009	0.00501675
47	0.18181081	0.09890242	0.21100027	0.00479864
